OSTbeta,STATH,MAPK10,PLEKHG5,ERO1L,ZNF711,ZNF385,OR52E8,SLC5A11,P4HA3,LHFPL4,MGC33657,CAPZB,RBM15B,C1orf176,KLF3,OLFM4,NBR2,CCDC64,NUP210,HEMGN,SLC25A3,LEF1,MVD,OTUD3,KIAA1949,SLC44A3,ZNF775,THY1,DYNC1I2,CYP1A1,SPTA1,CLEC4M,RXFP3,TSHR,C7,CRYBB2,PPAPDC3,TXNL4B,CHST9,HACE1,AYTL1,PRSS35,ZNF408,DDC,CSTL1,OR2F1,C12orf50,SH3YL1,SNUPN,COL25A1,HPS4,ZFPM1,OAS2,TUBA1C,OR8K5,THSD3,ATP6V0C,RAB22A,AP1B1,CTAGE6,C6orf26,ESR1,UPK3B,ROBO4,TMEFF1,KIAA1279,ZFP36L1,GRINA,YTHDF3,TMCC1,UBE1DC1,C6orf15,PDE6A,PEO1,TMEM52,PARP1,GSS,RDH11,STXBP1,ACLY,TMSB10,TUBB,LIPK,HRC,C20orf111,OMA1,NCAPH2,GPX2,BPY2C,ZNF324,CDC27,CCNB2,CNOT7,BIRC3,GAL3ST3,PLEKHM1,SPOCD1,PENK,TAS2R9,BRCA_Subtype_PAM50
-3.53275,0.3165,1.6635,0.52875,-1.6338,-0.319375,-0.3971666666666671,-0.2565,-0.13625,3.7675,-2.83275,-0.06025,0.48075,-0.2925,-0.53925,0.27325,2.0455,0.116,-0.3525,-1.4715,-5.7235,-0.70025,-2.0337,-1.803,0.423375,0.39925,2.66216666666667,-0.132375,0.8596,1.135125,-0.8185,-4.50925,-0.136,-0.062,-0.5795,1.12085714285714,-1.071,0.38125,-1.4589,-2.8621666666666696,-0.33383333333333304,-0.24666666666666695,1.062,0.015,-5.058,0.96675,0.36775,-0.3828333333333329,1.088625,0.522,-1.1854,-0.2531,-0.27175,0.701,-1.76892857142857,-0.7255,-3.21775,0.163875,0.588,-0.871833333333333,0.564,-3.36866666666667,3.08425,-0.514,3.2573333333333303,-1.58675,1.22675,1.6633,0.6365,0.59575,0.42425,-0.4305,0.3613333333333329,-0.3165,-1.2635,-0.979166666666667,-1.79,-0.393,-0.204,-1.1431,-0.82175,0.16592857142857098,-1.884625,3.008,-1.4565,1.04383333333333,0.7205,-1.20133333333333,-3.482,-0.672,0.5255,-0.2985,-2.7527777777777795,-0.4391428571428571,-2.00633333333333,0.0615,0.314833333333333,-0.715,-1.32783333333333,0.1605,2
-2.56575,0.4135,0.6105,0.35125,-1.4511,-0.27525,1.1035,-0.047,-1.28575,2.956625,-2.14775,0.61775,0.85975,0.44075,0.3455,0.24625,5.89533333333333,-0.4903333333333329,-0.979,-0.911333333333333,-5.76516666666667,-0.066375,-1.7357,-1.50475,0.238125,-0.32925,1.85183333333333,0.205875,0.5019,0.84,-1.6375,-5.54375,0.614,0.4425,-1.032,2.96325,-1.0845,0.44125,-1.4442,0.8290000000000001,-0.8735,-0.4268333333333329,0.31525,-0.0635,-5.59825,0.294,0.40375,-0.0801666666666667,1.398,0.1363,-0.9446,-0.4529,0.316,0.941333333333333,-0.8175,-0.1135,-2.67825,0.416625,0.275416666666667,0.19433333333333305,0.1225,-2.26633333333333,2.386,-0.4306666666666671,3.5846666666666698,-2.26275,0.62325,1.1118,1.2195,0.59375,0.5169166666666671,-1.2515,0.242,-0.8859999999999999,-0.811333333333333,-0.3783333333333329,-0.3565,-0.1375,-0.634333333333333,-1.6207,-0.00275,1.216,-0.3711875,0.1465,-1.214,0.0625,0.6225,-0.36,-3.564,0.3385,0.204,-1.1445,-2.27355555555556,0.5253571428571429,-1.1085,-0.0675,0.519,-1.3986666666666698,0.2425,0.4525,2
-2.78675,0.172,0.952,0.1805,-1.4231,-0.55525,0.992333333333333,0.3595,-1.53275,4.214875,-2.60125,0.036000000000000004,0.8435,0.05275,0.095,0.36275,4.26066666666667,0.3588333333333329,-0.754,-1.5083333333333302,-5.36483333333333,-0.01875,-1.1171,-1.047,-0.98825,0.26225,2.6748333333333303,-0.000625000000000001,1.9868,0.550125,-1.36225,-4.8935,0.181833333333333,0.29600000000000004,-0.1355,0.7845,-0.8355,1.747,-1.3345,-0.4815,-0.4896666666666671,0.0305,0.6245,0.159,-5.9220000000000015,-0.11,-0.0285,0.0955,1.23875,0.4233,-0.6924,-0.5922,0.455875,1.28933333333333,-0.7879285714285709,1.064,-2.60875,0.59525,0.3650833333333329,0.604166666666667,0.1495,-2.4223333333333303,0.79125,-0.4546666666666671,3.28716666666667,-1.17575,0.38375,1.2493,1.2785,0.738,0.65125,-0.633,1.6878333333333302,-0.85625,-1.00533333333333,-1.114,-1.045,-0.097,-0.322333333333333,-1.5929,0.385,0.980785714285714,-0.45025,0.4005,-1.188,0.0233333333333333,0.1315,-0.581,-2.95675,0.184,0.2385,-0.16,-3.0483333333333302,0.188714285714286,-1.36566666666667,-0.051,0.9625,0.4811666666666671,0.23383333333333306,0.337,2
-2.53975,0.32775,0.285,0.3485,-0.9451,-0.261125,-0.3926666666666671,0.0215,0.27675,3.012625,-2.70575,-0.03125,0.411,0.1505,0.4320000000000001,0.314,2.0738333333333303,-1.64966666666667,-0.35600000000000004,-1.27916666666667,-5.33216666666667,-0.596125,-2.2549,-0.9085,0.797875,-0.50175,0.0233333333333333,-0.0856250000000001,0.4714,0.395125,-0.9535,-5.2665,0.17483333333333306,0.6885,0.057,4.948625,0.8805,0.12,-0.3897,-1.8506666666666696,0.32,0.0228333333333333,0.37475,-0.243333333333333,-5.43525,0.00024999999999998596,-0.01275,-0.197,0.6965,-0.1807,-0.7078888888888891,-1.052,0.493625,0.857666666666667,-0.962357142857143,-0.2575,-2.7295,0.847875,1.70975,-0.3938333333333329,0.8855,-2.38833333333333,2.49541666666667,-0.3901666666666671,3.647,-1.66075,0.74525,0.4805,1.5765,0.83125,-0.144416666666667,-1.8555,0.140666666666667,-0.91225,-1.33633333333333,0.18016666666666695,-0.036000000000000004,-0.10525,-0.2765,-1.1545,-0.401125,0.5412857142857139,-1.04225,-0.299,-1.193,1.84033333333333,0.3905,-1.05966666666667,-1.312375,0.16,0.55075,-0.2775,-1.66866666666667,0.4962857142857139,-0.18016666666666695,-0.1415,0.3988333333333329,-1.07066666666667,0.20433333333333306,0.29600000000000004,2
-1.349,0.63975,0.7440000000000001,1.846,-1.2848,1.7655,-0.2035,-0.59,-1.60875,1.460875,-1.2085,0.95875,0.39325,0.081,1.31975,0.003625,2.43466666666667,-0.2425,0.982,-0.135666666666667,-6.2193333333333305,-0.225125,-2.8349,-1.83025,0.750875,-0.20925,-0.20333333333333306,-0.278,-0.7646,0.508375,-1.98825,-6.0995,-0.1485,-0.06,-0.11825,0.2924,1.27,1.1055,0.0287000000000001,2.27616666666667,1.3568333333333302,-1.8165,-0.31525,0.3573333333333329,0.6759999999999999,0.243,0.328,0.153,1.604375,0.3766,-1.324,-0.166,-0.147875,0.568666666666667,0.38757142857142896,0.6395,-2.44075,-0.857,0.464,0.7838333333333329,-0.32,-2.45466666666667,-4.86066666666667,-0.824166666666667,2.20766666666667,2.7455,0.95625,-0.2564,0.82,1.21125,-0.134,-1.296,0.912666666666667,-1.5145,0.23266666666666694,-1.58833333333333,-0.355,-0.465,-1.16816666666667,-0.2296,-0.116125,-0.220571428571429,0.357625,0.654,-2.85725,0.659,-0.456,0.2025,-4.318125,0.465,0.893,-1.0425,-0.35644444444444395,-0.00821428571428572,-2.32066666666667,0.083,-0.743,-0.957,1.8353333333333304,0.599,0
-1.17125,-0.20075,-1.0315,0.74725,-2.0106,0.7415,-0.503,0.8,-0.872,1.696875,-1.93275,0.152,0.39775,0.08025,1.4855,-0.369625,3.36716666666667,0.00249999999999998,-0.93,0.5670000000000001,-6.24566666666667,0.25475,-3.9867,-1.416,0.769375,0.12175,1.8893333333333304,0.534625,-1.1227,0.4565,-1.74175,-5.4245,0.192,0.8305,0.0966666666666667,1.3265,-0.5925,-0.3235,-0.0697,-2.96116666666667,-0.0201666666666667,-0.3736666666666671,-0.6845,0.8098333333333342,-1.99675,-0.35075,-0.8585,0.7416,1.89,-0.1107,-0.8958,-0.0271,0.3965,0.9165,-0.151785714285714,0.311,-3.09425,-0.062375,0.4001666666666671,0.487,0.449,-2.4735,-4.4860833333333305,-0.511,2.74966666666667,-0.01925,-0.54425,0.9794,-1.072,1.26225,0.734833333333333,0.1945,-0.0818333333333333,-0.889,0.6548333333333329,1.06866666666667,0.33475,0.11475,-0.5181666666666671,-1.6027,0.335375,1.5502142857142902,0.8815625,0.16699999999999998,-2.3015,0.0038333333333333396,0.1645,0.12,-4.079625,0.104,1.37675,0.091,-0.735333333333333,0.3040714285714289,-1.78583333333333,-0.246,0.4261666666666671,-1.495,-0.8473333333333329,0.34600000000000003,0
-1.54925,0.45525,0.401,0.40775,-1.565,-0.051875,0.124666666666667,0.8165,-1.317,2.04425,-2.61775,-0.07825,0.50175,0.069,1.612,0.492875,4.0611666666666695,-1.32283333333333,-0.4515,-0.724666666666667,-5.72716666666667,-0.068375,-1.3937,-0.8495,1.196,-0.18125,1.7096666666666698,0.21275,-0.0713,0.094125,-1.49475,-3.7765,0.227166666666667,0.7785,-0.06225,1.551,0.56,-0.8585,-0.58,1.7265,0.564,0.33433333333333304,-0.036000000000000004,0.108,-3.26425,0.29525,0.5045,0.27433333333333304,0.8440000000000001,-0.3792,-0.5449,-0.1159,0.688125,1.3595833333333305,-0.4141428571428571,0.2885,-2.551,0.069375,0.22008333333333305,0.0825,-0.318,-2.1921666666666697,-1.6274166666666698,0.1475,3.03816666666667,-0.41375,-0.32675,0.9609,0.3745,0.55075,0.113416666666667,-0.5770000000000001,2.0575,-1.01525,-0.2815,-1.30416666666667,-0.405,0.34525,-0.567333333333333,-1.1121,-0.3005,1.24642857142857,-0.480375,0.617,-1.99425,0.0375,0.662,-0.1635,-3.136125,0.2705,0.13725,-0.1815,-0.9683333333333328,0.796357142857143,1.622,-0.2725,-0.3205,-0.0476666666666667,-0.7908333333333329,0.6075,0
-0.8805,-0.1245,1.973,0.30475,-1.5662,-0.295625,0.1215,0.428,-0.15175,3.289625,-2.66225,1.08,-0.1505,-0.40325,0.267,0.340625,3.47033333333333,0.0676666666666667,-0.7725,-1.836,-4.34383333333333,-0.199875,-1.3632,-2.26125,1.7425,-0.33625,2.92666666666667,-1.230875,0.1754,1.09425,-1.042,-4.0255,-0.3971666666666671,0.261,0.094,2.918125,-0.2935,0.20325,-1.8151,-2.08233333333333,-0.313166666666667,0.0901666666666667,0.72925,-0.934166666666667,-5.16,0.856,0.66075,0.1345,2.092875,0.2138,-1.3805,-1.0346,-1.965625,0.943666666666667,-1.81564285714286,0.1045,-2.7365,0.248,-0.0580833333333333,-2.2145,0.363,-2.95116666666667,4.11558333333333,0.064,2.714,-1.1575,1.126,1.9297,-0.2135,1.5525,0.892583333333333,-0.2645,0.4806666666666671,0.14325,-0.764,-0.4451666666666671,-1.078,-0.7390000000000001,0.3701666666666671,-1.7864,-0.019125,0.381,-2.021125,-0.2655,-1.59475,0.0868333333333333,1.5885,-1.887,-2.628375,-0.093,0.17600000000000002,-0.1405,-2.6531111111111096,-0.4016428571428571,-0.618166666666667,-0.2595,-0.128333333333333,-0.6675,-0.8190000000000001,0.292,2
-2.4235,1.1735,1.6,0.3565,-1.2859,-0.6805,0.808833333333333,0.44,-0.489,2.633,-2.71775,0.01625,0.0535,0.3595,0.7635,-0.00424999999999995,7.1485,-1.5805,1.225,-1.45233333333333,-5.07883333333333,0.032875,-2.4016,-0.99975,0.566625,0.838,2.51866666666667,0.483375,0.8935,0.114,-1.26125,-5.443,1.19433333333333,1.1025,-0.67525,2.91875,0.5710000000000001,-0.7625,-1.1177,2.33883333333333,-0.7818333333333329,-0.1665,2.34025,0.2295,-3.69,0.0915,0.36975,0.2045,2.2495,-1.3017,-0.2038,-0.8593,1.4395,1.98466666666667,-1.67485714285714,1.42,-2.2455,0.483375,-0.0846666666666667,-0.321666666666667,0.388,-0.4276666666666671,0.4731666666666671,0.23666666666666694,4.2275,-2.769,-0.80125,2.2439,0.3435,-0.76025,-0.30575,-1.721,0.296833333333333,1.6395,-1.242,-0.270166666666667,0.364,-0.9765,0.4135,-1.9238,-0.925375,1.9272142857142904,0.21600000000000005,0.5835,-1.42875,-1.5245,-0.2905,-1.03316666666667,-3.3275,0.257,0.8220000000000001,-1.7325,-2.08744444444444,-1.12092857142857,0.830166666666667,-0.3975,0.19133333333333305,0.103333333333333,-0.9078333333333328,0.489,0
-3.0985,0.91175,-0.6445,0.51375,-1.3342,-2.4685,0.64,0.7345,-0.118,2.670375,2.695,-0.0593333333333333,0.10425,0.867,0.272,-0.0585,4.0595,-0.3946666666666671,0.402,-0.5005,-5.5920000000000005,-0.508375,-0.4869,-1.888,0.103875,1.50125,1.89566666666667,0.2525,0.6246,0.6645,-1.991,-4.919,0.4696666666666671,0.9355,0.683666666666667,3.9155,-1.44,-0.5345,-0.5836,-0.5465,-0.23883333333333304,2.19316666666667,-0.54475,-0.3945,-2.643,0.3575,0.67525,-0.6268,1.467875,-0.0516,-1.27377777777778,-1.1137,1.5015,2.8499166666666698,-0.8347857142857141,-0.355,-2.87,0.0685,0.20583333333333306,-0.214,0.048,-2.0538333333333303,-1.8015833333333304,0.259,3.8985,-2.029,0.19325,1.636,0.8665,0.69175,0.68325,-0.6685,0.28416666666666696,0.15875,-0.5913333333333329,-1.03133333333333,0.25825,0.1595,-0.717833333333333,-2.2871,-0.623875,0.960428571428572,-0.33625,-0.8915,-2.403,-0.350166666666667,0.0455,-1.089,-3.189375,0.477,0.61675,-0.545,-1.65777777777778,0.223285714285714,2.4930000000000003,-0.8415,0.803333333333333,-0.6345,3.49833333333333,0.238,0
